year,town,flat_type,min_selling_price,max_selling_price,average_selling_price
2008,PUNGGOL,2-ROOM,82000,107000,94500
2008,PUNGGOL,3-ROOM,135000,211000,173000
2008,PUNGGOL,4-ROOM,223000,327000,275000
2008,PUNGGOL,5-ROOM,305000,428000,366500
2008,JURONG WEST,3-ROOM,142000,160000,151000
2008,JURONG WEST,4-ROOM,211000,253000,232000
2008,JURONG WEST,5-ROOM,229000,319000,274000
2008,BUKIT PANJANG,2-ROOM,82000,106000,94000
2008,BUKIT PANJANG,3-ROOM,138000,170000,154000
2008,BUKIT PANJANG,4-ROOM,211000,270000,240500
2008,WOODLANDS,3-ROOM,116000,164000,140000
2008,WOODLANDS,4-ROOM,184000,257000,220500
2008,WOODLANDS,5-ROOM,247000,296000,271500
2008,SENGKANG,2-ROOM,73000,95000,84000
2008,SENGKANG,3-ROOM,120000,162000,141000
2008,SENGKANG,4-ROOM,190000,275000,232500
2008,SENGKANG,5-ROOM,290000,367000,328500
2009,PUNGGOL,2-ROOM,89000,114000,101500
2009,PUNGGOL,3-ROOM,151000,188000,169500
2009,PUNGGOL,4-ROOM,234000,322000,278000
2009,PUNGGOL,5-ROOM,332000,409000,370500
2009,JURONG WEST,2-ROOM,86000,103000,94500
2009,JURONG WEST,3-ROOM,138000,173000,155500
2009,JURONG WEST,4-ROOM,223000,266000,244500
2009,CHOA CHU KANG,2-ROOM,83000,104000,93500
2009,CHOA CHU KANG,3-ROOM,128000,172000,150000
2009,CHOA CHU KANG,4-ROOM,212000,275000,243500
2009,BUKIT PANJANG,2-ROOM,72000,94000,83000
2009,BUKIT PANJANG,3-ROOM,125000,157000,141000
2009,BUKIT PANJANG,4-ROOM,210000,250000,230000
2009,WOODLANDS,3-ROOM,141000,175000,158000
2009,WOODLANDS,4-ROOM,228000,288000,258000
2009,SENGKANG,2-ROOM,74000,98000,86000
2009,SENGKANG,3-ROOM,116000,171000,143500
2009,SENGKANG,4-ROOM,203000,271000,237000
2009,SENGKANG,5-ROOM,281000,352000,316500
2010,PUNGGOL,3-ROOM,150000,237000,193500
2010,PUNGGOL,4-ROOM,243000,376000,309500
2010,PUNGGOL,5-ROOM,330000,458000,394000
2010,JURONG WEST,3-ROOM,168000,199000,183500
2010,JURONG WEST,4-ROOM,239000,325000,282000
2010,JURONG WEST,5-ROOM,298000,391000,344500
2010,BUKIT PANJANG,2-ROOM,83000,119000,101000
2010,BUKIT PANJANG,3-ROOM,143000,191000,167000
2010,BUKIT PANJANG,4-ROOM,226000,312000,269000
2010,BUKIT PANJANG,5-ROOM,298000,398000,348000
2010,WOODLANDS,2-ROOM,78000,105000,91500
2010,WOODLANDS,3-ROOM,136000,168000,152000
2010,WOODLANDS,4-ROOM,224000,280000,252000
2010,WOODLANDS,5-ROOM,270000,328000,299000
2010,SENGKANG,2-ROOM,68000,120000,94000
2010,SENGKANG,3-ROOM,122000,232000,177000
2010,SENGKANG,4-ROOM,201000,359000,280000
2010,SENGKANG,5-ROOM,279000,444000,361500
2011,PUNGGOL,2-ROOM,85000,111000,98000
2011,PUNGGOL,3-ROOM,150000,242000,196000
2011,PUNGGOL,4-ROOM,257000,390000,323500
2011,PUNGGOL,5-ROOM,335000,484000,409500
2011,CHOA CHU KANG,3-ROOM,146000,172000,159000
2011,CHOA CHU KANG,4-ROOM,229000,284000,256500
2011,CHOA CHU KANG,5-ROOM,295000,364000,329500
2011,BUKIT PANJANG,3-ROOM,137000,189000,163000
2011,BUKIT PANJANG,4-ROOM,217000,298000,257500
2011,BUKIT PANJANG,5-ROOM,274000,386000,330000
2011,SEMBAWANG,2-ROOM,92000,116000,104000
2011,SEMBAWANG,3-ROOM,158000,191000,174500
2011,SEMBAWANG,4-ROOM,255000,310000,282500
2011,SENGKANG,2-ROOM,83000,112000,97500
2011,SENGKANG,3-ROOM,134000,220000,177000
2011,SENGKANG,4-ROOM,225000,370000,297500
2011,SENGKANG,5-ROOM,283000,456000,369500
2011,YISHUN,3-ROOM,156000,193000,174500
2011,YISHUN,4-ROOM,234000,296000,265000
2011,YISHUN,5-ROOM,277000,381000,329000
2012,PUNGGOL,2-ROOM,104000,130000,117000
2012,PUNGGOL,3-ROOM,163000,247000,205000
2012,PUNGGOL,4-ROOM,260000,379000,319500
2012,PUNGGOL,5-ROOM,326000,485000,405500
2012,CHOA CHU KANG,2-ROOM,99000,121000,110000
2012,CHOA CHU KANG,3-ROOM,138000,182000,160000
2012,CHOA CHU KANG,4-ROOM,223000,309000,266000
2012,CHOA CHU KANG,5-ROOM,284000,385000,334500
2012,WOODLANDS,4-ROOM,248000,312000,280000
2012,WOODLANDS,5-ROOM,308000,381000,344500
2012,SENGKANG,3-ROOM,151000,264000,207500
2012,SENGKANG,4-ROOM,251000,403000,327000
2012,SENGKANG,5-ROOM,304000,499000,401500
2012,YISHUN,3-ROOM,170000,197000,183500
2012,YISHUN,4-ROOM,264000,320000,292000
2012,YISHUN,5-ROOM,331000,388000,359500
2013,PUNGGOL,2-ROOM,81000,141000,111000
2013,PUNGGOL,3-ROOM,176000,232000,204000
2013,PUNGGOL,4-ROOM,279000,377000,328000
2013,PUNGGOL,5-ROOM,365000,495000,430000
2013,CHOA CHU KANG,3-ROOM,140000,172000,156000
2013,CHOA CHU KANG,4-ROOM,240000,288000,264000
2013,CHOA CHU KANG,5-ROOM,308000,372000,340000
2013,WOODLANDS,2-ROOM,73000,118000,95500
2013,WOODLANDS,3-ROOM,133000,183000,158000
2013,WOODLANDS,4-ROOM,223000,298000,260500
2013,WOODLANDS,5-ROOM,276000,369000,322500
2013,SEMBAWANG,2-ROOM,70000,109000,89500
2013,SEMBAWANG,3-ROOM,138000,177000,157500
2013,SEMBAWANG,4-ROOM,225000,304000,264500
2013,SEMBAWANG,5-ROOM,313000,381000,347000
2013,SENGKANG,2-ROOM,76000,124000,100000
2013,SENGKANG,3-ROOM,150000,189000,169500
2013,SENGKANG,4-ROOM,251000,329000,290000
2013,SENGKANG,5-ROOM,358000,425000,391500
2013,YISHUN,2-ROOM,75000,118000,96500
2013,YISHUN,3-ROOM,150000,234000,192000
2013,YISHUN,4-ROOM,252000,320000,286000
2013,YISHUN,5-ROOM,316000,393000,354500
2014,BUKIT BATOK,2-ROOM,80000,142000,111000
2014,BUKIT BATOK,3-ROOM,160000,211000,185500
2014,BUKIT BATOK,4-ROOM,259000,344000,301500
2014,BUKIT BATOK,5-ROOM,350000,457000,403500
2014,PUNGGOL,2-ROOM,82000,139000,110500
2014,PUNGGOL,3-ROOM,166000,212000,189000
2014,PUNGGOL,4-ROOM,278000,341000,309500
2014,PUNGGOL,5-ROOM,334000,429000,381500
2014,WOODLANDS,2-ROOM,72000,131000,101500
2014,WOODLANDS,3-ROOM,144000,197000,170500
2014,WOODLANDS,4-ROOM,229000,312000,270500
2014,WOODLANDS,5-ROOM,308000,396000,352000
2014,SEMBAWANG,2-ROOM,73000,119000,96000
2014,SEMBAWANG,3-ROOM,148000,185000,166500
2014,SEMBAWANG,4-ROOM,236000,301000,268500
2014,SEMBAWANG,5-ROOM,0,0,0
2014,SENGKANG,2-ROOM,90000,135000,112500
2014,SENGKANG,3-ROOM,164000,208000,186000
2014,SENGKANG,4-ROOM,267000,335000,301000
2014,SENGKANG,5-ROOM,0,0,0
2014,YISHUN,2-ROOM,73000,123000,98000
2014,YISHUN,3-ROOM,149000,177000,163000
2014,YISHUN,4-ROOM,240000,318000,279000
2014,YISHUN,5-ROOM,339000,409000,374000
2015,BUKIT BATOK,2-ROOM,84000,134000,109000
2015,BUKIT BATOK,3-ROOM,161000,202000,181500
2015,BUKIT BATOK,4-ROOM,266000,325000,295500
2015,BUKIT BATOK,5-ROOM,367000,424000,395500
2015,PUNGGOL,2-ROOM,84000,145000,114500
2015,PUNGGOL,3-ROOM,173000,223000,198000
2015,PUNGGOL,4-ROOM,277000,372000,324500
2015,PUNGGOL,5-ROOM,364000,489000,426500
2015,SEMBAWANG,2-ROOM,75000,123000,99000
2015,SEMBAWANG,3-ROOM,152000,188000,170000
2015,SEMBAWANG,4-ROOM,238000,302000,270000
2015,SEMBAWANG,5-ROOM,0,0,0
2015,SENGKANG,2-ROOM,80000,137000,108500
2015,SENGKANG,3-ROOM,159000,202000,180500
2015,SENGKANG,4-ROOM,252000,330000,291000
2015,SENGKANG,5-ROOM,320000,402000,361000
2016,BUKIT PANJANG,2-ROOM,73000,139000,106000
2016,BUKIT PANJANG,3-ROOM,147000,210000,178500
2016,BUKIT PANJANG,4-ROOM,239000,336000,287500
2016,BUKIT PANJANG,5-ROOM,315000,410000,362500
2016,PUNGGOL,2-ROOM,80000,140000,110000
2016,PUNGGOL,3-ROOM,163000,210000,186500
2016,PUNGGOL,4-ROOM,257000,365000,311000
2016,PUNGGOL,5-ROOM,329000,498000,413500
2016,SEMBAWANG,2-ROOM,74000,116000,95000
2016,SEMBAWANG,3-ROOM,151000,181000,166000
2016,SEMBAWANG,4-ROOM,235000,300000,267500
2016,SEMBAWANG,5-ROOM,311000,392000,351500
2016,YISHUN,2-ROOM,79000,123000,101000
2016,YISHUN,3-ROOM,156000,190000,173000
2016,YISHUN,4-ROOM,251000,297000,274000
2016,YISHUN,5-ROOM,0,0,0
2017,BUKIT BATOK,2-ROOM,87000,164000,125500
2017,BUKIT BATOK,3-ROOM,171000,246000,208500
2017,BUKIT BATOK,4-ROOM,265000,321000,293000
2017,BUKIT BATOK,5-ROOM,353000,418000,385500
2017,CHOA CHU KANG,2-ROOM,89000,139000,114000
2017,CHOA CHU KANG,3-ROOM,182000,211000,196500
2017,CHOA CHU KANG,4-ROOM,250000,340000,295000
2017,CHOA CHU KANG,5-ROOM,0,0,0
2017,PUNGGOL,2-ROOM,0,0,0
2017,PUNGGOL,3-ROOM,0,0,0
2017,PUNGGOL,4-ROOM,287000,347000,317000
2017,PUNGGOL,5-ROOM,357000,434000,395500
2017,SENGKANG,2-ROOM,78000,139000,108500
2017,SENGKANG,3-ROOM,159000,215000,187000
2017,SENGKANG,4-ROOM,252000,331000,291500
2017,SENGKANG,5-ROOM,317000,402000,359500
2017,WOODLANDS,2-ROOM,71000,129000,100000
2017,WOODLANDS,3-ROOM,140000,189000,164500
2017,WOODLANDS,4-ROOM,225000,318000,271500
2017,WOODLANDS,5-ROOM,279000,401000,340000
2017,YISHUN,2-ROOM,77000,113000,95000
2017,YISHUN,3-ROOM,157000,177000,167000
2017,YISHUN,4-ROOM,251000,291000,271000
2017,YISHUN,5-ROOM,331000,378000,354500
2018,JURONG WEST,2-ROOM,95000,160000,127500
2018,JURONG WEST,3-ROOM,185000,243000,214000
